Title,CompanyName,location,link
﻿﻿Terms of Reference for Developing Online Course on “Socio- Political Understanding”,YUWA,Kathmandu,employer/yuwa/381643
﻿INVITATION FOR BIDS,HelvetasNepal,"Birendranagar,Surkhet",employer/helvetas-nepal/11746
QA Automation Engineer,UBASolutionsPvt.Ltd.,Lalitpur,employer/uba-solutions-pvt-ltd/2630
Mobile Manual QA Engineer,HouzzInc.,Kathmandu,employer/houzz-inc/406086
Resident Engineer,VisionEnergy&PowerPvt.Ltd.,"Gumdel,Ramechhap",employer/vision-energy-power-pvt-ltd/10369
Email Correspondence and Content Writing,NepalHikingTeam,Kathmandu,employer/nepal-hiking-team/8479
.NET Developer (Multiple Mid and Junior Positions),SynergyInfoSystems(SIS),Kathmandu,employer/synergy-info-systems-sis/1303
﻿Request for Quotations for Audit and legal services,Viamo,Kathmandu,employer/viamo/385121
﻿DPA Assessment Officer,WorldVisionInternationalNepal,Dailekh,employer/world-vision-international-nepal/11718
﻿Innovation Business Partner – Internal,WorldVisionInternationalNepal,Lalitpur,employer/world-vision-international-nepal/11718
﻿Sponsorship Field Coordinator,WorldVisionInternationalNepal,Kailali,employer/world-vision-international-nepal/11718
Infrastructure Lead,S.W.NepalPvt.Ltd.,Kathmandu,employer/s-w-nepal-pvt-ltd/10018
Laravel Developer,WebCreationNepalPvt.Ltd.,"Bagbazar,Kathmandu",employer/web-creation-nepal-pvt-ltd/8364
Specialist - SPARS,ManagementSciencesforHealth,Kathmandu,employer/management-sciences-for-health/11418
Angular Developers,IT@HimalayaPvt.Ltd.,Kathmandu,employer/it-himalaya-pvt-ltd/887
Country Director,Welthungerhilfe,Kathmandu,employer/welthungerhilfe/403116
Head of Programmes/ Compliance and Regulations Advisor,Welthungerhilfe,Kathmandu,employer/welthungerhilfe/403116
Website data entry / Photo editing,ProfusionTechPvt.Ltd,Kathmandu,employer/profusion-tech-pvt-ltd/11138
"Programme Monitoring, Evaluation and Learning (PMEL) Officer",YUWA,Kathmandu,employer/yuwa/381643
Secondary Maths Teachers Urgently Wanted,BhagawatiEnglishSecondarySchool,Sindhuli,employer/bhagawati-english-secondary-school/402098
Delivery Personnel / Messenger,ProfusionTechPvt.Ltd,Kathmandu,employer/profusion-tech-pvt-ltd/11138
Communications and External Relations Strategist,CARENepal,Kathmandu,employer/care-nepal/381270
SALES & MARKETING,Webbook,Kathmandu,employer/webbook/392911
Tender notice-Insurance Service (Non-Life),SavetheChildren,Kathmandu,employer/save-the-children/398542
PRIMARY LEVEL TEACHERS (﻿SAATHI TEACHERS),HelambuEducationandLivelihoodPartnership(HELP),Gorkha,employer/helambu-education-and-livelihood-partnership-help/388162
Terms of reference,Welthungerhilfe,Lalitpur,employer/welthungerhilfe/9727
﻿ETL Developer,VeriskNepalPvt.Ltd.,Kathmandu,employer/verisk-nepal-pvt-ltd/9531
﻿Software Engineer- QA,VeriskNepalPvt.Ltd.,Kathmandu,employer/verisk-nepal-pvt-ltd/9531
﻿React Developer,VeriskNepalPvt.Ltd.,Kathmandu,employer/verisk-nepal-pvt-ltd/9531
Associate Technical Support Engineer,HouzzInc.,Nepal,employer/houzz-inc/406086
﻿Python Developer,VeriskNepalPvt.Ltd.,Kathmandu,employer/verisk-nepal-pvt-ltd/9531
﻿AWS Devops/Linux- NOSQL Admin,VeriskNepalPvt.Ltd.,Kathmandu,employer/verisk-nepal-pvt-ltd/9531
﻿QA Automation Engineer,VeriskNepalPvt.Ltd.,Kathmandu,employer/verisk-nepal-pvt-ltd/9531
﻿DBA- SQL,VeriskNepalPvt.Ltd.,Kathmandu,employer/verisk-nepal-pvt-ltd/9531
﻿.Net Developer,VeriskNepalPvt.Ltd.,Kathmandu,employer/verisk-nepal-pvt-ltd/9531
Finance Content Writer,ContentioLabPvt.Ltd.,Kathmandu,employer/contentio-lab-pvt-ltd/397810
Various Positions,KATHMANDUWORLDSCHOOL,Bhaktapur,employer/kathmandu-world-school/403584
Educational Consultant,DelightEducationServicesPvtLtd,Kathmandu,employer/delight-education-services-pvt-ltd/406041
﻿Senior Quality Assurance Engineer,LogPoint,Kathmandu,employer/logpoint/397311
﻿Senior Solutions Engineer,LogPoint,Kathmandu,employer/logpoint/397311
Technical Writer (Work From home),ContentioLabPvt.Ltd.,Kathmandu,employer/contentio-lab-pvt-ltd/397810
"UI/UX Designer, Software Developer, Unity Developer and 3D Modeler",ARRTSMGmbHpvtltd,Lalitpur,employer/arrtsm-gmbh-pvt-ltd/397570
Sales Executive,ProfusionTechPvt.Ltd,Kathmandu,employer/profusion-tech-pvt-ltd/11138
